"doc_id","Topic 1.","Topic 2.","Topic 3.","Topic 4.","Topic 5.","Topic 1.1.","Topic 1.2.","Topic 1.3.","Topic 1.4.","Topic 2.1.","Topic 2.2.","Topic 2.3.","Topic 3.1.","Topic 3.2.","Topic 3.3.","Topic 3.4.","Topic 4.1.","Topic 4.2.","Topic 4.3.","Topic 4.4.","Topic 5.1.","Topic 5.2.","Topic 5.3.","Topic 5.4."
"900795",0.000174873106270539,0.000174873106266779,0.000174873106262625,0.000174873106265381,0.999300507574935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00206090798983452,0.00206090798977361,0.00206090798977361,0.993817276030618
"900796",0.000128345857640449,0.000128345857640454,0.421935407349568,0.000128345857640444,0.577679555077511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900797",0.000102423966251417,0.000102423966251442,0.000102423966251431,0.999590304134994,0.000102423966251427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900799",0.997025747414352,0.000743563146412097,0.000743563146412097,0.000743563146412097,0.000743563146412097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900800",0.000107140157742154,0.000107140157742169,0.425335265340587,0.574343314186186,0.000107140157742839,NA,NA,NA,NA,NA,NA,NA,0.00210648345770152,0.00210648345770152,0.00210648345770152,0.993680549626895,0.00391135991067159,0.988265920267982,0.00391135991067156,0.00391135991067471,NA,NA,NA,NA
"900802",0.000129184177616695,0.000129184177616697,0.000129184177616699,0.568389342771045,0.431223104696105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00187794250975201,0.00187794250975201,0.994366172470744,0.00187794250975201,0.00121642790502429,0.996350716284927,0.00121642790502428,0.0012164279050243
"900812",0.000163997812970406,0.000163997812988329,0.000163997812992303,0.999344008748059,0.000163997812990162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993778057762326,0.00207398074589133,0.00207398074589131,0.00207398074589132,NA,NA,NA,NA
"900815",0.000469797523825401,0.998120809904767,0.000469797523800168,0.000469797523802013,0.000469797523805043,NA,NA,NA,NA,0.0104714216104366,0.979057156779127,0.0104714216104366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900816",5.8411160717186e-05,5.84111607178577e-05,0.210622077248605,0.577376226210959,0.211884874219001,NA,NA,NA,NA,NA,NA,NA,0.347179857223616,0.649516987763118,0.00165157750663322,0.00165157750663323,0.47410949692562,0.000989450265979742,0.52391160254242,0.000989450265979741,0.000900241577427738,0.73736909250144,0.260830424343705,0.000900241577427751
"900822",0.997025747414352,0.000743563146412097,0.000743563146412097,0.000743563146412097,0.000743563146412097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
